"COUNTRY_CODE","INDICATOR","UNIT","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"MEX","Real house price indices","Index",100,101.640878011553,103.714680814941,108.12760566922,113.831734513343,114.873214983373,117.650036001392,117.48409635587,NA
"LTU","Real house price indices","Index",100,104.413567149673,109.858462637696,114.846547350402,120.027771902749,127.208121249338,141.098904444787,141.66800388031,NA
"CAN","Real house price indices","Index",100,109.073583289402,120.424809034773,122.857357646449,122.664978804569,129.68374873945,144.582526420952,152.517740240739,144.236663416487
"USA","Real house price indices","Index",100,104.525737090708,109.049770127839,113.4156869037,117.442043398135,125.317228530357,140.327799853642,150.183144762602,NA
"IRL","Real house price indices","Index",100,106.769854482497,116.60745683898,126.275026213843,126.896935359171,126.311152123967,131.669508478898,138.298260381032,NA
"EST","Real house price indices","Index",100,103.388292145021,104.654312779909,107.158873582855,111.506286572744,119.280062988051,131.9149331229,138.038850285984,NA
"IDN","Real house price indices","Index",100,100.059557759139,99.834671005482,99.7889818378969,98.5194514143125,98.113948494962,97.8413749083301,NA,NA
"ESP","Real house price indices","Index",100,104.450180845702,109.246247960696,114.944229730638,119.631236760556,122.232595053727,123.895827455125,124.87380654998,NA
"HUN","Real house price indices","Index",100,112.261826526641,121.938982846259,134.924959828555,150.936482857338,153.271649872685,167.971530306277,176.792664568284,NA
"COL","Real house price indices","Index",100,103.19165707793,106.255206044547,108.510209270341,110.099467871136,110.561913335128,109.69785855869,106.363139360422,NA
"PRT","Real house price indices","Index",100,106.06133597297,114.071218822326,123.862469313248,135.057488698671,146.031841217815,156.66137558258,164.241974322762,NA
"DNK","Real house price indices","Index",100,104.603304571434,108.13597362447,112.519308030143,114.45970968543,119.877525727073,131.269594357141,121.619832107998,NA
"AUS","Real house price indices","Index",100,104.844664019751,112.195557906333,108.78130191648,102.488286942783,106.661359718641,122.793406011289,124.484650610503,NA
"CHE","Real house price indices","Index",100,101.815472351952,102.953115089869,104.781074176092,108.892742233116,114.069730904494,121.662242909917,127.65957883536,NA
"GRC","Real house price indices","Index",100,98.5073882974722,97.1538050747732,98.8004964763993,105.893876169896,111.839900179619,119.095879515241,125.469286386823,NA
"BRA","Real house price indices","Index",100,92.0643571011449,90.0240702241205,87.2306043050563,84.8458013329337,81.6110481255217,73.8919473362173,67.4281275140308,64.8573426571967
"FRA","Real house price indices","Index",100,100.677107899835,102.887033556725,104.27425455189,106.805448255561,111.582110735739,117.320301324427,119.141658257708,NA
"NZL","Real house price indices","Index",100,113.43834279963,118.945916297437,121.637022022414,123.4862414289,133.866675992281,164.325986785489,155.69761873267,NA
"BEL","Real house price indices","Index",100,101.102666931366,102.809962057419,103.67745185728,106.309641847275,109.871019581565,114.897428366386,110.523350051464,NA
"GBR","Real house price indices","Index",100,105.658300316618,108.479917617224,109.741995346986,109.138679755358,111.570253724447,118.813310213227,120.884904096364,NA
"JPN","Real house price indices","Index",100,102.55911517517,104.761577841924,106.054416436831,107.256276864488,106.991630583766,112.682818335424,118.656146144071,NA
"IND","Real house price indices","Index",100,102.546776392032,107.515972985308,108.891156343458,108.518285144779,106.575415315035,103.636063104909,99.0148481862426,NA
"SVK","Real house price indices","Index",100,106.983767815996,111.813894035987,117.314075627501,124.601085978124,133.552433364665,137.738424854246,139.629556844108,NA
"RUS","Real house price indices","Index",100,96.2075803175699,99.026975314306,102.295635813271,101.230760633209,117.044224111994,130.113356097646,148.238215625797,NA
"CHN","Real house price indices","Index",100,109.877711964125,122.489280440873,127.065283343107,128.316710148748,129.747341445015,133.564544840594,132.233744852548,131.567959970097
"NLD","Real house price indices","Index",100,104.447112937273,110.795452420641,118.657587070522,124.073732628215,131.81403295368,147.152353515939,156.428219045553,NA
"CZE","Real house price indices","Index",100,106.70869294873,116.504589150398,123.40431799657,131.009121933641,138.0715446737,160.643484345326,163.310068456611,NA
"LUX","Real house price indices","Index",100,105.218105067496,108.72625521568,114.265551463006,124.188660311214,140.04206341045,157.530898372445,163.729607459672,NA
"ISL","Real house price indices","Index",100,108.688297143768,131.148806789671,137.725434384861,137.830630525328,141.784578302292,153.58380930525,173.432075838501,NA
"LVA","Real house price indices","Index",100,107.255408459084,112.97750054789,120.149442501506,126.694192688648,131.252136116862,140.754149698346,139.650357229847,NA
"NOR","Real house price indices","Index",100,103.826837031632,106.89538994948,105.937490487595,106.12374832019,108.93912492652,116.998865211854,117.233386493118,NA
"FIN","Real house price indices","Index",100,101.079828536814,101.140507110187,100.777054598204,100.209484277021,101.619990137602,103.990209588705,99.2546460090713,NA
"KOR","Real house price indices","Index",100,100.513717341019,100.005508602591,100.159171203063,99.3215264082791,101.554719280167,107.766034298144,105.428938961057,NA
"AUT","Real house price indices","Index",100,106.995292730074,110.705494222434,113.643093858897,118.174344338968,125.711915100166,138.436898520729,143.692063373819,NA
"TUR","Real house price indices","Index",100,106.769215849759,105.89440335469,99.8780762222229,91.21779823765,99.0588258405403,112.327929888105,155.389912967188,NA
"ITA","Real house price indices","Index",100,100.141833798989,98.0187319963752,96.5567687295933,95.8911906390895,97.5998400227555,98.5580775057729,95.4929004773749,NA
"SVN","Real house price indices","Index",100,103.630679431265,110.482803631963,117.807502257383,124.066179094004,130.370142020436,140.90239512052,147.012550595234,NA
"SWE","Real house price indices","Index",100,107.31130649998,112.433563221535,108.730570578354,109.158290813213,112.720510427074,121.934677793997,118.162120235897,NA
"DEU","Real house price indices","Index",100,106.771153455922,111.61995407414,117.302012056028,122.475660262075,131.201431479774,142.21654678393,140.500662564601,NA
